name_title,description
Arizona Flex Surfer Prep Flat-Front Shorts,"These surfer prep style flat-front shorts from Arizona have flexibility, allowing you to bend and move while retaining their shape. flat front button fly with zipper slant front pockets back-buttoned welt pockets 8½"" inseam hits just above the knee cotton/spandex washable imported"
Montego Summer Buzz Indoor/Outdoor Square Rugs,"Our Summer Buzz indoor or outdoor rugs take flight with a whimsical bee, butterfly and dragonfly design that's grounded in warm, natural colors.   part of the Montego rug collection designed for indoor or outdoor use easy-care, flat weave construction mold and mildew resistant Polypropylene. Spot clean with cold water; use soap on stubborn stains; line dry. Rug pad recommended for indoor use. Imported."
Soft Style® by Hush Puppies Paci Slingback Sandals,"Pretty with a twist: our open-toe sandals are vacation—and pedicure—ready. synthetic/rubber upper 1¾"" wedge heel breathable gold-tone lining for a hint of luxe Soft Delight™ Comfort System offers shock absorption and all-day cushioning rubber sole Soft Style® is a Hush Puppies Company."
Bisou Bisou® Cold Shoulder Bodycon Dress,"A little shoulder goes a long way in our adorable Bisou Bisou cold-shoulder dress.   scoopneck cold shoulder short sleeves approx. 38"" length from shoulder polyester/spandex washable imported"
Liz Claiborne® Curvy Elizabeth Secretly Slender™ Bootcut Leg Pants,"Visually lengthen the look of your legs in our curvy-fit, bootcut pants, which sit at your waist and are comfortably fitted through the hip and thigh.   flat front zip fly with hook-and-bar closure 1 front welt pocket 2 back welt pockets with button closure polyester/rayon/spandex washable imported misses: 32"" inseam misses short: 30"" inseam misses long: 34"" inseam"
OshKosh B'gosh® Polo Bodysuit - Baby Boys 3m-24m,Start him early on that classic preppy style with our soft cotton polo bodysuit. polo collar front button placket short sleeves nickel-free snaps on reinforce panel pre-washed 100% cotton washable imported
Xersion™ Compression Pants,Get the coverage you need for your workouts with these compression pants from Xersion. elastic waistband slim compression fit polyester/spandex washable imported
Silvertone Engravable Tie Bar with Onyx Stone,"Dress up his suit with this handsome tie bar, featuring silver-tone metal accented with a black onyx stone.   clip closure 2½"" long have it monogrammed with up to 3 block letters (first, middle and last initial) silver-tone metal made in America If you want this item monogrammed, just click on the monogramming box below and add the item to your shopping bag. You will then be prompted to add your free personalization of up to three letters.  "
Footnotes® Sterling Silver Florida State Necklace,"Home then, home now or home in the future—this state holds sentimental attachments to you. Claim it proudly for all to see with this state-shaped sterling silver necklace. Layer with other state necklaces for a destination extravaganza.   Metal: Sterling silver Closure: Spring-ring Length: 18"" Forzatina chain Pendant Size: .55x.63"" Jewelry photos are enlarged to show detail.  "
JF J. Ferrar® End on End Suit Vest - Slim Fit,JF J. Ferrar men's vest finishes your business look.   adjustable back buckle slim fit 5-button front plaid back 2 exterior welt pockets polyester/rayon blend polyester lining dry clean imported
1 CT. T.W. Certified Diamond 14K White Gold Bridal Ring Set,"With diamonds that glitter up and down your bride’s finger, this ring set is worthy of her eternal love. Splendid split shanks are covered with diamonds and lead up to the unbelievable princess-cut center stone enveloped by a glittery halo. A matching contoured wedding band completes the union. Metal: Rhodium-plated 14K white gold Stones: 1 ct. t.w. round diamonds, including a ⅓ ct. princess-cut center stone Color: H-I Clarity: I1-I2 Setting: Prong and pavé Gallery Height: 21.3mm Diamond total weights may vary between .01 and .08 carat. Jewelry photos are enlarged to show detail.  "
Marvel® Daredevil T-Shirt,Be daring in your casual style with this tee featuring the Daredevil logo. crewneck 100% cotton washable imported
Nunn Bush® Norcross Mens Cap-Toe Oxfords,"Go from meeting to meeting in confident comfort with our handsome wingtip oxfords and their smooth, cushioned design. lace up comfort gel heel cap toe leather upper rubber sole"
Pink Republic Short-Sleeve Stripe Dress,"Update your warm-weather wardrobe with our dress, featuring a stripe print for a super-cute look. ●    roundneck●    short sleeves●    32"" length●    polyester●    hand wash, dry flat●    imported  "
a.n.a® Short-Sleeve High Low Swing Tee - Tall,Our swing tee features a high-low hem and flowy style that pairs nicely with a variety of bottoms. scoopneck short sleeves high-low hem rayon washable imported
SEPHORA COLLECTION Flatter Yourself Contouring Brush Set,"What it is: A Professionally inspired complexion and contour brush set.What it does: This high quality set includes a stippling brush, a flat top powder brush for buffing and setting, and angled blush brush. Also includes PRO Team make-up tutorial. The set is encased in a fashionable slim-line pouch and includes mint blotting papers.This Set Contains:- Stippling Brush- Buffing Brush- Angled Blush Brush- PRO Team Brush Tutorial- Cooling Mint Blotting Papers- Go-Anywhere Travel Case"
Total Girl® Soft Shorts - Girls 7-16 and Plus,Fringe lace trim lends girly flair to these easy-match soft shorts. fringe lace in front and hem elastic waist polyester washable imported
"Farberware® 9x5"" Loaf Pan","A commonly requested size in recipes for yeast breads, quick breads and pound cakes, this 9x5"" loaf pan is also standard to many meatloaf recipes.   made of heavyweight carbon steel to aid in even heating and browning nonstick surface helps bread and meatloaf release from the pan intact and makes cleanup easy oven safe to 500°F Carbon steel. Hand wash. Imported.  "
Youngland® Sleeveless Challis Popover Sundress - Toddler Girls 2t-4t,"A cute geometric print and popover bodice make this challis dress a worthy addition to her warm weather lineup.   roundneck sleeveless rayon machine wash, line dry imported"
Gloria Vanderbilt® Silver-Tone Purple Drop Earrings,"Metal: Silver-tone metalStones: Purple acrylic stonesBacking: LeverbackDimensions: 0.553x1.255""Jewelry photos are enlarged to show detail."
Nike® Strike Dri-FIT Training Shorts,"Get the coverage and sweat-wicking performance you need—from the pitch to the gym—in these mesh training shorts from Nike. Dri-FIT moisture-wicking fabric helps keep you dry and cool gradient graphic is sublimated for increased breathability gripper elastic waist with drawcord zippered side pockets 8"" inseam polyester washable imported"
Arizona Swim Trunks,"The tropical styling of these Arizona swim trunks makes them perfect for any beach or pool party.   elastic waist with drawstring 6 1/2"" inseam side pockets back pocket polyester washable imported"
"IZOD® Pleated Twill Pants - Boys 8-20, Slim and Husky","These handsome, all-cotton pants easily match a variety of looks and feature an adjustable waist for the perfect fit.     adjustable waist with belt loops hook and zipper closure for sizes 4-7; button and zipper for 8-20 two side and two back pockets 100% cotton washable imported"
Speechless® Sleeveless Mesh-Inset Necklace Dress,"You're certain to appeal to the masses in our textured knit bodycon dress with mesh insets at the sides and a statement necklace. exposed back zipper 34"" length from shoulder polyester/spandex lined hand wash, line dry imported"
Cosmopolitan Round Shag Rug,"You'll love sinking your toes into the thick, plush pile of this rug.   highly durable polypropylene machine-woven construction crafted in Egypt 1.96"" pile height; 2.21"" overall thickness Stain Resistant: Yes Fade Resistant: Yes Slip Resistant: No Rug Backing: Jute Fire Retardant: Yes Rug Pad Recommended: Rug pad is recommended to improve slip resistance and protect underlying surfaces. Use: Indoor Care Instructions: Vacuum regularly. Spot clean or professionally clean. Origin: Imported  "
The Foundry Supply Co.™ Tracksuit Jacket - Big & Tall,"Our Foundry Supply Co. track jacket has a lightweight fleece lining to help layer warmth for those brisk, windy days. hip length 2 side pockets fleece lining polyester washable imported"
i jeans by Buffalo Lace-Up Denim Skirt,"Add some chic charm to your casual style with our timeless denim skirt, featuring a fun lace-up design. mid rise 4-pocket styling 22"" length denim cotton/spandex washable imported"
"GE® 30"" Free-Standing Double Oven Gas Range with Convection","true GE®'s free-standing range with double ovens offers the best in contemporary design matched with the latest in technology to fit all of your family's needs and the edge-to edge cooktop and dual purpose center burner mean even your biggest dishes are no match for this oven. double oven 6.8 cu. ft. total capacity 5 burner gas range includes 18,000 BTU Power Boil burner center oval burner is ideal for griddle or odd-size cookware extra-large, integrated reversible cast iron grill/griddle precise simmer burner provides low, even heat distribution for delicate foods and sauces edge-to-edge cooktop gives extra room for pots and pans of all sizes gas convection oven circulates heat for high-quality results self-clean with Steam Clean option 3 oven racks can be configured in 7 different positions heavy duty, dishwasher safe grates in oven during self-clean cycle"
Bulwark® Flame-Resistant Short-Sleeve Polo,"A comfortable, casual polo shirt made for FR compliance. Believe it. The iQ Series Polo shirts are available in both short and long sleeve variations, so you can enjoy the lightweight, moisture-wicking material all year round. Underarm gussets allow you to reach, without your shirt coming untucked, while hidden ribbing in the cuffs keeps long sleeves in place. The zipper placket gives these shirts a contemporary and stylish look with CAT2 and 2112 labels easily visible on the sleeve. flame resistant zipper front placket chest pocket with pencil stall cotton/polyester/polyoxadiazole washable imported"
Opulent Diamond 1¼ CT. T.W. Certified Diamond 14K White Gold Ring,"Your promise of love and commitment becomes real with this ring. In a simple halo style with accent diamonds on the shanks, it has a strong sparkling impact when viewed on her finger from any angle. Metal: Rhodium-plated 14K white gold Stones: 1¼ ct. t.w. round diamonds, including a ⅞ ct. center stone Color: H-I Clarity: I1 Setting: Prong and pavé Gallery Height: 7.05mm Diamond total weights may vary between .01 and .08 carat. Jewelry photos are enlarged to show detail.  "
Clarks® Leisa Cacti Womens Open-Toe Leather Sandals,"Walk with comfort and confidence when you slip into our open-toe leather sandals detailed with contrast stitching and studded accents. technology OrthoLite® cushioned footbed construction smooth leather upper lightweight EVA sole details 1⅓"" heel 3 hook-and-loop closures for a custom fit fabric linings"
Levi's® 514™ Straight Stretch Jeans,"With a straight-leg fit that's not too loose and not too tight, it's easy to see why 514™ jeans are a Levi's®  bestseller.     sits below waist 2 concealed back hem pockets  wide side seam slim fit through seat and thighs straight leg, 16½"" opening black, rigid grey, blue stone and black stone: 99% cotton/1% elastane midnight and white bull denim: 98% cotton/2% elastane covered up: 78% cotton/16% polyester/4% elamul/2% elastane other colors: 100% cotton washable imported"
Arizona Floral Pushup Triangle Swim Top - Juniors,"Elevate your beachside style in our adorable floral swim top. tie halter and back pushup molded cups lined nylon/spandex hand wash, line dry imported"
Excelled Bouclé Jacket,"With its luxe nubby texture and modern styling, our bouclé jacket will be your most refined layer of the season. button closure 2 front pockets; 2 inside pockets 36"" length from shoulder polyester shell polyester lining washable imported"
Disney Collection Rapunzel Costume - Girls 2-10,"Magical princess style comes to life with this beautiful Rapunzel costume, featuring a soft satin bodice and glittery details. squareneck with ruffle detail puff sleeves Rapunzel cameo satin ribbons iridescent organza glitter details 3-layered skirt bodice: polyester/nylon skirt and lining: polyester hand wash, line dry imported"
Decree® Jeggings,"No matter what you pair them with, our twill jeggings will bring you an unbeatable look you won't be able to get enough of. 5-pocket styling 32"" inseam cotton/spandex washable imported"
Star Wars™ Short-Sleeve Graphic Tee - Big & Tall,Spend your days sporting one of the most beloved and recognized logos in film with this soft cotton tee from Fifth Sun. crewneck short sleeves 100% cotton washable imported
Bisou Bisou® Sleeveless Tie-Back Halter Top,"Garner admiring glances in our flattering tie-back halter top for a pop of cheeky style. sleeveless halter neckline 28"" front length rayon/spandex machine wash, line dry imported"
Tiny Giraffe Print Legging,Soft knit leggings in a feminine print offer the final touch of fabulous to your favorite tunic or shirt dress.   cotton/spandex washable imported  
J. Taylor Sleeveless Faux-Wrap Dress,"The little black dress goes glitz with the glitter fabric of our sleeveless faux-wrap dress and its beautiful brooch. v-neck sleeveless hidden zipper rhinestone brooch approx. 41"" length from shoulder polyester machine wash, dry flat imported   RETURNS: This dress must be returned in its original condition with the green return tag in place."
Arizona Basic Loose Straight Jeans,"Jeans with the loose fit you love from Arizona, in a straight-leg style.   sits below waist loose fit through seat and thigh 5-pocket style straight leg cotton washable imported extended sizes and washes available online only"
Brondell H2O+ Circle Triple Filter Replacement Pack,"The H2O+ Circle Triple Filter replacement pack includes the sediment, pre-carbon plus and post-carbon block filters for maximum filtration. plastic 2.75x2.75x11.25""H imported"
Delicate Vine Floral Indoor/Outdoor Rectangular Rug,"Your relaxing retreat awaits with these indoor/outdoor rugs in a captivating vine and floral pattern.   mold and mildew resistant woven construction highly durable polypropylene crafted in Egypt 0.157"" pile height; 0.25"" overall thickness Stain Resistant: Yes Fade Resistant: Yes Slip Resistant: Yes Rug Backing: Polypropylene Fire Retardant: Yes Rug Pad Recommended: Rug pad is recommended to improve slip resistance and protect underlying surfaces. Care Instructions: Spot clean Use: Indoor/outdoor Origin: Imported  "
JCPenney Home™ Custom Hartford Blackout Roman Shade,"Update your window and help block out light and noise with our custom blackout roman shade helps keep room warmer in winter and cooler in summer creates soft pleats when opened backing with inaccessible cord liner keeps cords out of the way cord lift 6"" fabric valance Sold individually. Polyester. Window must be 1¼"" deep for inside mount; 1⅝"" deep for flush inside mount. Mounting hardware included. Clean with a damp cloth. Imported.  For current pricing, measure your windows, fill in the order form and click on ""Calculate Price."" This shade is shipped directly from the supplier to you; allow up to 3 weeks plus transit for delivery anywhere in the 48 contiguous United States. Custom blinds, shades and draperies are custom fabricated to your specifications. To receive a refund, you must cancel the order within 24 hours of the initial transaction."
Personally Stackable 1/5 CT. T.W. Diamond and Lab-Created Ruby Ring,Wear a piece of elegance everywhere you go with this lab-created ruby and diamond ring that's brilliant alone but even better with additional rings to create stacks that express your unique personality. Metal: Rhodium-plated sterling silver Stones: ⅕ ct. t.w. round diamonds Other stones: Lab-created rubies Setting: Prong Width: 2.25mm Diamond total weights may vary between .01 and .08 carat. Gemstones may be treated and may require special care. Jewelry photos are enlarged to show detail.  
Liz Claiborne® Sequin Tank Top - Tall,"Our scoopneck tank top's sequined mesh front is all you need to successfully work the room. nylon front polyester back and lining hand wash, dry flat imported  "
Queen Street® Serena 2-Pack Curtain Panels,"Combining rustic textures with colors of the seashore, these curtain panels give your window laid-back yet refined elegance, especially when paired with the Serena valance.   classic rod-pocket styling abstract floral medallion pattern tones of sand, driftwood and sea glass high-quality jacquard weave fabric-lined for an enhanced weight and feel tiebacks included Measures 100x84""L. Panels are sold as a 2-pack; stated measurement is combined width of both panels. Polyester. 3"" rod pocket. Dry clean. Imported.  "
My Little Pony Short Sleeve Tee 1My Little Pony Short-Sleeve Tee - Toddler Girls 2t-4t,"Give her a cute, casual look in our comfortable My Little Pony tee.  crewneck short sleeves front graphic cotton/polyester washable imported"
Star Wars® R2D2 Tie Bar,Add spice to your wardrobe and share your love of Star Wars by wearing officially licensed R2D2 tie bar. officially licensed rhodium-plated base metal imported
IZOD® Nottingham Stripe Quilt,"Give your space a modern update with the clean design of this quilt in bold tones of red and red. blue and red stripe pattern coordinating grid pattern on back 100% cotton Coordinating accessories sold separately. Cotton with cotton fill. Washable. Imported. Twin: quilt is 66x88"" Full/Queen: quilt is 88x90"" King: quilt is 102x90"""
Dockers® Signature Performance On-the-Go Flat-Front Pants,"Enjoy effortless style when you’re on the move in these smooth pants from Dockers. Easy-going features include an Individual Fit® waistband, stain release and moisture-wicking, All Motion Comfort® fabric. smooth, no-wrinkle fabric with crease retention moisture-wicking technology helps keep you cool and dry stain release All Motion Comfort fabric stretches with you fade-resistant color straight fit through seat and thigh Individual Fit waistband side-seam pockets back welt pockets flat front straight leg hemmed polyester washable imported"
Arizona Sleeveless Swing Dress- Juniors,"Flowy and fun, our sleeveless swing dress by Arizona is an easy addition to your stylish warm-weather wardrobe. roundneck back cutout approx. 32¾-38¾"" length from shoulder polyester/rayon washable imported"
JCPenney Home™ Jenner Cotton Grommet-Top Thermal Curtain Panel,"This handsome cotton twill grommet-top thermal curtain panel, with polyester/cotton and thermal linings, meets all your needs when it comes to helping keep rooms warmer in the winter and cooler in the summer.   helps reduce light and noise 100% cotton with 80% polyester/20% cotton lining; acrylic thermal lining cotton twill fabric with grommet header offers a relaxed, casual look grommets have gunmetal finish 6 grommets per panel Coordinating window treatments sold separately. Sold individually. Hang on a rod up to 1½"" in diameter. Cotton with polyester/cotton lining and acrylic thermal lining. Machine wash, line dry. Imported.  "
The Foundry Supply Co.™ Sueded Henley - Big & Tall,"Stay stylishly warm in this henley, featuring an all-cotton fabric that’s been brushed for extra softness. big and tall fit 3-button placket long sleeves dark charcoal: cotton/polyester all other colors: 100% cotton washable imported"
John Frieda® JFHA5 Hot Air Brush,"The John Frieda Hot Air Brush features advanced ionic power and gives volume and shine to your hair.   spin brush 2-in-1 dry and style with one simple tool advanced ionic conditioning enhances manageability and leaves hair healthy, smooth and shiny with less frizz true ceramic heater ceramic titanium coated barrel 1½"" barrel 500 watts 15-second instant heat-up heats up to 455°F LCD temperature control 2 heat settings plus cool setting auto-off professional-length swivel line cord Plastic housing with ceramic coated barrel. Wipe clean. 5-year limited manufacturer's warranty. Imported."
Baby Buns Rash Guard and Swim Trunks Set - Toddler Boys 2t-4t,"Featuring a printed rash guard and coordinating swim trunks, this set is sure to make a splash and add coverage to protect his delicate skin from the sun. includes rash guard and trunks UPF 50+ top: screen print graphic; polyester/spandex bottoms: built-in mesh briefs, side pocket; polyester hand wash, line dry imported"
Keds® Champion Pennant Lace-Up Sneakers,It's always time to play ball when you accent your look with our eye-catching sneakers featuring baseball inspiration. canvas upper breathable twill lining lightweight rubber sole
Nourison® Poinsettia Hand-Hooked Rectangular Rug,"A large red poinsettia framed by stylized borders gives this hand-hooked rug a touch of festive charm. hand-made construction durable polyester/acrylic/olefin 0.05"" overall thickness measures 30x20"" Stain Resistant: No Fade Resistant: No Slip Resistant: No Fire Retardant: No Rug Backing: Cotton Rug Pad Needed: Yes, rug pad is recommended to improve slip resistance and protect underlying surfaces. Use: Indoor Care Instructions: Washable. Origin: Imported"
Croscill Classics® Delano 2-Pack Curtain Panels,"These richly textured curtain panels feature high-end style with a glamorous jacquard scroll pattern and essential fabric lining. Pair with the Delano comforter set and accessories for a complete room.   jacquard panels in a coordinating floral scroll design tiebacks included rod-pocket styling with a tailored finish Measures 82x84""L. Panels are sold in pairs; stated measurement is combined width of both panels. Valance sold separately. Hang on a rod up to 3"" in diameter. Polyester. Dry clean. Imported."
Avia® Union Mens Slip-Resistant Athletic Shoes,"Whether hard at work or enjoying weekend comfort, our Avia Union athletic shoes are the right choice for superior comfort. technology Defender G protection on the leather upper for easy wipe-off removal of stains construction leather upper rubber sole details lace-up entry molded premium EVA removable sockliner for all-day comfort and easy cleaning. oil/slip resistant outsole tread pattern for protection in wet and slippery environments  "
London Style Collection 3/4-Sleeve Striped Sheath Dress,"Take your style to the next level with the familiar fit of a sheath dress bolstered with a timeless stripe design. crewneck 3/4 sleeves 36"" length from shoulder polyester/elastane machine wash, dry flat imported"
Carter’s® 5-pc. Daisy-Print Diaper Bag Set,"Organization is in bloom with this cheerful, daisy-print diaper bag set. Large and small totes feature multiple exterior pockets for keeping your essentials within reach. double handles zip closure large bag has 4 exterior pockets 2 interior bottle loops easy-wipe accessory pouch for wet clothes or dirty diapers removable changing pad 16x5x12""H polyester spot clean with damp cloth imported 5-piece set includes: large diaper bag small diaper bag bottle holder changing pad accessory pouch"
JF J. Ferrar® Long-Sleeve Easy-Care Stretch Dress Shirt - Slim Fit,Add a modern touch to your formal look with our slim-fit stretch dress shirt. slim fit spread collar button front long sleeves 100% cotton washable imported
Worthington® Drawstring Gaucho Pants - Petite,"Wake up your work day with our stretch-knit gaucho pants, whose neat seams and drawstring elastic waist add structure, while a fun print keeps your look lively. 2 front pockets 17½"" inseam polyester/spandex washable imported"
Home Expressions™ Hudson Reversible Bedding Set,"Give your bedroom's décor an update with our bedding set, which features an ombre stripe print in shades of blue. The comforter fully reverses to a solid blue, so you can change the look of your room with a simple flip. The decorative pillow and sheet set coordinate with the comforter to complete the look. blue ombre stripe print that reverses to a solid blue comforter: polyester with polyester fill sham, bedskirt and sheet set: polyester twin: 66x86"" full: 76x86"" queen: 88x92"" king: 101x92"" washable imported 6-piece twin set includes: 1 comforter 1 sham 1 bedskirt with 14"" drop 1 flat sheet 1 fitted sheet 1 pillowcase 8-piece full, queen and king sets include: 1 comforter 2 shams 1 bedskirt with 14"" drop 1 flat sheet 1 fitted sheet 2 pillowcases Coordinating accessories sold separately. Twin, full and queen sets include standard shams. King set includes king shams."
adidas® Adilette SuperCloud™ Plus Women's Slide Sandals,Once you slip these lightweight slide sandals on it will feel like walking on clouds. technology SuperCloud Plus Footbed for incredible comfort construction durable synthetic upper injection-molded EVA rubber outsole details trendy graphic print adidas logo
Spring Step Vino Slide Wedge Sandals,"Put some pep into your step with these breathable slip-on wedges, featuring a beautiful laser punchout design that's perfect for pairing with your favorite dresses.●    nubuck/leather upper●    3"" heel●    slip-on●    laser punchout design●    polyurethane sole  "
Maternity Overbelly Destructed Denim Bermuda Shorts-Plus,"Stay cute and comfortable with our overbelly bermuda jeans featuring a trendy destructive design. belly band rolled cuff midrise 9.5"" inseam cotton/polyester/spandex washable imported"
Made For Life™ Woven Pintuck Capris - Tall,"A pop of color at the waistband and striped mesh side-seam taping give our relaxed-fit pintuck capris a fresh finish. stitched pintuck down front legs elastic waist with drawstring side slash pockets straight legs 23½"" inseam polyester washable imported"
Fila® Countdown 2 Girls Running Shoes - Little Kids/Big Kids,"Support your little one whether she's running and playing or participating in her favorite sporting activities.   construction leather/mesh/synthetic upper rubber sole details lace up lightweight, breathable mesh upper with contrast welding details for structure EVA injected midsole provides lightweight cushioning minimal rubber outsole with multi-tread design provide traction"
Colonial Mills® Houston Reversible Braided Indoor/Outdoor Oval Rug,"Not your grandmother's braided rugs, these colorful classics are updated with a sophisticated style that's designed for indoor or outdoor spaces.   classic braid construction reversible for twice the life crafted in America highly durable polypropylene fibers ½"" overall thickness Stain Resistant: Yes Fade Resistant: Yes Slip Resistant: No Rug Backing: None Fire Retardant: Yes Rug Pad Needed: Rug pad is recommended to improve slip resistance and protect underlying surfaces. Use: Indoor or outdoor Rug construction: Machine-made Care Instructions: Vacuum with a hard surface attachment; do not use a beater bar. Spot clean. Hose off and hang to dry. Origin: Made in America  "
Worthington® Lace-Up Tassel Tank Top - Petite,"Front tassels and a layered, flowy design make for a perfect warm-weather top. v-neck tassels at front approx. 25"" length lined polyester washable imported"
Carter's® Snowsuit Set - Baby Girls 12m-24m,"Bring sassy style to the slopes with this stylish snowsuit and coordinating jacket. includes snowsuit and jacket snowsuit: adjustable clip straps, 1/2 zip closure, elastic leg cuffs jacket: fleece-lined faux fur-trimmed hood, long sleeves with elastic cuffs, zip front, 2 snap pockets polyester washable imported"
Worthington® Slim Ankle Pants - Tall,"Our slim-fit ankle pants sit below your waist, straight-and-narrow through the hip and thigh, to keep the emphasis on the vertical.   zip fly with hook-and-bar closure inside waistband extension for a smoother front 2 front slash pockets 2 back faux welt pockets blind hem tape for easy alterations 29½"" inseam teaberry: cotton/polyester/spandex all other colors: rayon/nylon/spandex machine wash, line dry imported  "
Glamorise® Magic Lift® Wireless Full-Figure Bra - 1016,"Beautiful embroidered details lend femininity to our Magic Lift wireless bra from Glamorise. Magic Lift inner-cushioned bust band provides comfort, lift, shape and support        full figure unlined wide, cushioned straps pamper your shoulders back adjustable straps beautiful embroidered details on the upper cups full coverage cups adjustable hook-and-eye closure wireless nylon/polyester/spandex machine wash, line dry imported manufacturer’s style #1016"
Arizona Sara Girls Ballet Flats - Little Kids/Big Kids,"A versatile finishing touch for any outfit, our lovely ballet flats feature beautiful buckle accents on the straps. slip on synthetic upper EVA sole"
Jockey® Judo Capri Leggings,"Our fitted capri leggings from Jockey move with you for a comfortable fit during workouts, yoga practice and all your other active pursuits. flat front gusset with wicking liner flocked logo heat seal label 17"" inseam jersey knit black: cotton/spandex charcoal: cotton/polyester/spandex washable imported"
Disney Collection Mickey Mouse Skeleton Plush 2015,"This Mickey Mouse plush is ready for the most fun night of the year in his spooky Halloween skeleton costume. embroidered facial features and year polyester/plastic pellets/ethylene/polyurethane hand wash, dry flat imported"
Cathy's Concepts Personalized 4-pc. Specialty Beer Glass Set,These personalized specialty beer glasses provide every beer connoisseur with the perfect collection to enjoy all of their favorite brews.   clear glass construction each features a different shape can be engraved with a single block initial 4-piece set includes: 20-ounce curved pilsner 16.6-ounce stemmed pilsner 16-ounce beer can glass 16-ounce classic pilsner Glass. Dishwasher safe. Made in America.
Vans® Westerly Shorts,"Casual and comfortable, these shorts will match virtually any shirt in your closet. regular fit sits at waist flat front button fly 21"" inseam 2 pockets cargo pocket on left leg 100% cotton washable imported"
"Croscill Classics® Sanibel 18"" Square Fashion Decorative Pillow","Square decorative pillow coordinates with the Sanibel comforter set and accessories from Croscill Classics®.   features flap with wooden button adds an extra layer of detail to your bed measures 18x18"" Linen/cotton with polyester fill. Spot clean. Imported."
Journee Collection Hali D'Orsey Pumps,"Complete your chicest looks with these elegant D’Orsay pumps from Journee Collection. faux leather upper 2.85"" heel pointed toe padded footbed rubber sole"
Frank and Lulu Firefighter Sheet Set,"Celebrate everyday heroes with this sheet set featuring a fun and inspired print. 100% cotton sheet set fits mattresses up to 15"" deep cotton washable imported Sets include: flat sheet fitted sheet pillowcase(s) Twin set includes one standard pillowcase. Full sets include two standard pillowcases."
Deer Stags® Brooklyn Mens Slip-On Shoes,The Deer Stags® Brooklyn men's dress shoe is a modern style with easy pull-on wear.   pull-on style leather upper synthetic lining polyurethane sole
Designs by Adina Gold-Tone Two-Tone Chain Necklace,"An inventive chain is sure to turn heads. This one features a gold-tone base with brown and resin links for a modern aesthetic.   Metal: Gold-tone metal Stones: Brown and yellow resin links Other Stones: Clear crystals Closure: Lobster clasp Length: 22"" link chain with 3"" extender Jewelry photos are enlarged to show detail.  "
Stafford® Travel Sharkskin Pleated Dress Pants - Classic,These pleated dress pants from Stafford take your look to the next level with superior versatility and comfort. wrinkle-resistant fabric permanent crease Stafford-Ease comfort waistband classic fit sits at waist zip fly with button tab and hook-and-eye closure pleated front slash pockets back button-through welt pockets hemmed polyester/viscose washable imported
BergHOFF® Square Cast Iron Casserole Dish,"With a construction that allows it to be used on multiple cooking surfaces, this versatile cast iron casserole dish is the perfect go-to kitchen tool. safe to use on any heat source including induction warms quickly and evenly inside is coated with durable enamel to offer corrosion protection heat-retaining cast iron allows food to stay hot oven safe to 500°F Cast iron/enamel/stainless steel. Hand wash. Imported."
Hanes® Comfortblend® Crewneck Tee - Boys 4-16,"Just what active boys—and their moms—need, this comfortblend tee offers comfort, durability and wash-and-wear ease. crewneck short sleeves cotton/polyester washable imported XXS (4) XS (5) S (6/7) M (8) L (10/12) XL (14/16)"
Trend Lab® Floral Fun 6-pc. Crib Bedding Set,"Transform your nursery into a beautiful garden setting with our floral bedding set, made of soft cotton baby will love. delicate floral theme floral appliques and dimensional butterfly accents quilt: cotton, with polyester fill skirt: cotton, olefin platform sheet/pad cover/stacker/valance: 100% cotton washable imported 6-piece set includes reversible quilt: 35x45"" fitted crib sheet: 28x52"" crib skirt with 13"" drop changing pad cover: 16x32"" tab top window valance: 56x17"" diaper stacker: 12x20x8""H"
My Baby Sam Follow Your Arrow Hamper,"Our easy-to-clean cotton hamper is a great way to store your little one's dirty clothes.  26x16½x15""H wood frame 100% cotton machine wash, dry flat imported"
Glamorise® Full-Figure Body Briefer - 6201,"Glamorise's best-selling full-figure body briefer boasts allover shaping, defining the waist and flattening the tummy. wirefree foam band with cross under-and-over design for better lift, separation and firm support extra-wide foam rubber shoulder straps and cushioned under-bust band adjustable double row of hook-and-eye panty closures provides ease, convenience and fit flexibility nylon/spandex/polyester/cotton machine wash, line dry imported of domestic fabric manufacturer's style #6201"
Mixit™ Stone Chain Seedbead Headband,silver-tone metal clear acrylic stones 1¼x10”
Levi’s® 508™ Regular Taper Jeans,"Levi's 508 jeans are defined by their classic comfort and modern tapered fit.   sits below waist zipper fly, button closure 5-pocket styling tapered legs, 14¼"" opening regular fit  rinsed playa: 98% cotton/2% elastane black/black 3D: 99% cotton/1% elastane gray/black 3D: 65% cotton/33% polyester/2% elastane black indigo: 98.5% cotton/1.5% elastane other colors: 100% cotton others: cotton/elastane washable imported"
Ecko Unltd.® Short-Sleeve Solid Graphic Tee - Big & Tall,A cool graphic print featuring the Ecko Unltd. logo and a regular fit make our tee a hip casual choice.  crewneck short sleeves regular fit 100% cotton washable imported
